date,price
2022-01-03,2988.77
2022-01-04,2989.24
2022-01-05,2953.97
2022-01-06,2920.53
2022-01-07,2954.89
2022-01-10,2926.72
2022-01-11,2927.38
2022-01-12,2972.48
2022-01-13,2962.09
2022-01-14,2921.92
2022-01-17,2890.1
2022-01-18,2864.24
2022-01-19,2842.28
2022-01-20,2862.68
2022-01-21,2834.29
2022-01-24,2792.0
2022-01-25,2720.39
2022-01-26,2709.24
2022-01-27,2614.49
2022-01-28,2663.34
2022-02-03,2707.82
2022-02-04,2750.26
2022-02-07,2745.06
2022-02-08,2746.47
2022-02-09,2768.85
2022-02-10,2771.93
2022-02-11,2747.71
2022-02-14,2704.48
2022-02-15,2676.54
2022-02-16,2729.68
2022-02-17,2744.09
2022-02-18,2744.52
2022-02-21,2743.8
2022-02-22,2706.79
2022-02-23,2719.53
2022-02-24,2648.8
2022-02-25,2676.76
2022-02-28,2699.18
2022-03-02,2703.52
2022-03-03,2747.08
2022-03-04,2713.43
2022-03-07,2651.31
2022-03-08,2622.4
2022-03-10,2680.32
2022-03-11,2661.28
2022-03-14,2645.65
2022-03-15,2621.53
2022-03-16,2659.23
2022-03-17,2694.51
2022-03-18,2707.02
2022-03-21,2686.05
2022-03-22,2710.0
2022-03-23,2735.05
2022-03-24,2729.66
2022-03-25,2729.98
2022-03-28,2729.56
2022-03-29,2741.07
2022-03-30,2746.74
2022-03-31,2757.65
2022-04-01,2739.85
2022-04-04,2757.9
2022-04-05,2759.2
2022-04-06,2735.03
2022-04-07,2695.86
2022-04-08,2700.39
2022-04-11,2693.1
2022-04-12,2666.76
2022-04-13,2716.49
2022-04-14,2716.71
2022-04-15,2696.06
2022-04-18,2693.21
2022-04-19,2718.89
2022-04-20,2718.69
2022-04-21,2728.21
2022-04-22,2704.71
2022-04-25,2657.13
2022-04-26,2668.31
2022-04-27,2639.06
2022-04-28,2667.49
2022-04-29,2695.05
2022-05-02,2687.45
2022-05-03,2680.46
2022-05-04,2677.57
2022-05-06,2644.51
2022-05-09,2610.81
2022-05-10,2596.56
2022-05-11,2592.27
2022-05-12,2550.08
2022-05-13,2604.24
2022-05-16,2596.58
2022-05-17,2620.44
2022-05-18,2625.98
2022-05-19,2592.34
2022-05-20,2639.29
2022-05-23,2647.38
2022-05-24,2605.87
2022-05-25,2617.22
2022-05-26,2612.45
2022-05-27,2638.05
2022-05-30,2669.66
2022-05-31,2685.9
2022-06-02,2658.99
2022-06-03,2670.65
2022-06-07,2626.34
2022-06-08,2626.15
2022-06-09,2625.44
2022-06-10,2595.87
2022-06-13,2504.51
2022-06-14,2492.97
2022-06-15,2447.38
2022-06-16,2451.41
2022-06-17,2440.93
2022-06-20,2391.03
2022-06-21,2408.93
2022-06-22,2342.81
2022-06-23,2314.32
2022-06-24,2366.6
2022-06-27,2401.92
2022-06-28,2422.09
2022-06-29,2377.99
2022-06-30,2332.64
2022-07-01,2305.42
2022-07-04,2300.34
2022-07-05,2341.78
2022-07-06,2292.01
2022-07-07,2334.27
2022-07-08,2350.61
2022-07-11,2340.27
2022-07-12,2317.76
2022-07-13,2328.61
2022-07-14,2322.32
2022-07-15,2330.98
2022-07-18,2375.25
2022-07-19,2370.97
2022-07-20,2386.85
2022-07-21,2409.16
2022-07-22,2393.14
2022-07-25,2403.69
2022-07-26,2412.96
2022-07-27,2415.53
2022-07-28,2435.27
2022-07-29,2451.5
2022-08-01,2452.25
2022-08-02,2439.62
2022-08-03,2461.45
2022-08-04,2473.11
2022-08-05,2490.8
2022-08-08,2493.1
2022-08-09,2503.46
2022-08-10,2480.88
2022-08-11,2523.78
2022-08-12,2527.94
2022-08-16,2533.52
2022-08-17,2516.47
2022-08-18,2508.05
2022-08-19,2492.69
2022-08-22,2462.5
2022-08-23,2435.34
2022-08-24,2447.45
2022-08-25,2477.26
2022-08-26,2481.03
2022-08-29,2426.89
2022-08-30,2450.93
2022-08-31,2472.05
2022-09-01,2415.61
2022-09-02,2409.41
