"DateTime","Players","Twitch Viewers","Flags"
"2016-09-09 00:00:00",,40509,
"2016-09-10 00:00:00",,9690,
"2016-09-11 00:00:00",,0,
"2016-09-12 00:00:00",,1,
"2016-09-13 00:00:00",,22,
"2016-09-14 00:00:00",,0,
"2016-09-15 00:00:00",,0,
"2016-09-16 00:00:00",,0,
"2016-09-17 00:00:00",,0,
"2016-09-18 00:00:00",,1,
"2016-09-19 00:00:00",,0,
"2016-09-20 00:00:00",,0,
"2016-09-21 00:00:00",,0,
"2016-09-22 00:00:00",,0,
"2016-09-23 00:00:00",,0,
"2016-09-24 00:00:00",,0,
"2016-09-25 00:00:00",,0,
"2016-09-26 00:00:00",,0,
"2016-09-27 00:00:00",,59,
"2016-09-28 00:00:00",,0,
"2016-09-29 00:00:00",,0,
"2016-09-30 00:00:00",,0,
"2016-10-01 00:00:00",,0,
"2016-10-02 00:00:00",,0,
"2016-10-03 00:00:00",,0,
"2016-10-04 00:00:00",,4,
"2016-10-05 00:00:00",,0,
"2016-10-06 00:00:00",,0,
"2016-10-07 00:00:00",,0,
"2016-10-08 00:00:00",,0,
"2016-10-09 00:00:00",,0,
"2016-10-10 00:00:00",,0,
"2016-10-11 00:00:00",,0,
"2016-10-12 00:00:00",,0,
"2016-10-13 00:00:00",,0,
"2016-10-14 00:00:00",,0,
"2016-10-15 00:00:00",,0,
"2016-10-16 00:00:00",,0,
"2016-10-17 00:00:00",,0,
"2016-10-18 00:00:00",,0,
"2016-10-19 00:00:00",,0,
"2016-10-20 00:00:00",,0,
"2016-10-21 00:00:00",,0,
"2016-10-22 00:00:00",,0,
"2016-10-23 00:00:00",,0,
"2016-10-24 00:00:00",,0,
"2016-10-25 00:00:00",,0,
"2016-10-26 00:00:00",,0,
"2016-10-27 00:00:00",,0,
"2016-10-28 00:00:00",,0,
"2016-10-29 00:00:00",,0,
"2016-10-30 00:00:00",,0,
"2016-10-31 00:00:00",,0,
"2016-11-01 00:00:00",,0,
"2016-11-02 00:00:00",,0,
"2016-11-03 00:00:00",,10,
"2016-11-04 00:00:00",,0,
"2016-11-05 00:00:00",,0,
"2016-11-06 00:00:00",,12,
"2016-11-07 00:00:00",,0,
"2016-11-08 00:00:00",,0,
"2016-11-09 00:00:00",,1,
"2016-11-10 00:00:00",,1122,
"2016-11-11 00:00:00",,37,
"2016-11-12 00:00:00",,32767,
"2016-11-13 00:00:00",,42520,
"2016-11-14 00:00:00",,14093,
"2016-11-15 00:00:00",,13,
"2016-11-16 00:00:00",,4,
"2016-11-17 00:00:00",,2,
"2016-11-18 00:00:00",,3756,
"2016-11-19 00:00:00",,26582,
"2016-11-20 00:00:00",,8374,
"2016-11-21 00:00:00",,9064,
"2016-11-22 00:00:00",,7,
"2016-11-23 00:00:00",,18,
"2016-11-24 00:00:00",,5,
"2016-11-25 00:00:00",,5874,
"2016-11-26 00:00:00",,24314,
"2016-11-27 00:00:00",,38181,
"2016-11-28 00:00:00",,4798,
"2016-11-29 00:00:00",,4,
"2016-11-30 00:00:00",,7,
"2016-12-01 00:00:00",,2,
"2016-12-02 00:00:00",,2419,
"2016-12-03 00:00:00",,32259,
"2016-12-04 00:00:00",,32102,
"2016-12-05 00:00:00",,32673,
"2016-12-06 00:00:00",,25920,
"2016-12-07 00:00:00",,26,
"2016-12-08 00:00:00",,10,
"2016-12-09 00:00:00",,3,
"2016-12-10 00:00:00",,4,
"2016-12-11 00:00:00",,3,
"2016-12-12 00:00:00",,0,
"2016-12-13 00:00:00",,1,
"2016-12-14 00:00:00",,2,
"2016-12-15 00:00:00",,5,
"2016-12-16 00:00:00",,0,
"2016-12-17 00:00:00",,381,
"2016-12-18 00:00:00",,0,
"2016-12-19 00:00:00",,0,
"2016-12-20 00:00:00",,13,
"2016-12-21 00:00:00",,1,
"2016-12-22 00:00:00",,0,
"2016-12-23 00:00:00",,0,
"2016-12-24 00:00:00",,0,
"2016-12-25 00:00:00",,0,
"2016-12-26 00:00:00",,0,
"2016-12-27 00:00:00",,0,
"2016-12-28 00:00:00",,0,
"2016-12-29 00:00:00",,0,
"2016-12-30 00:00:00",,0,
"2016-12-31 00:00:00",,0,
"2017-01-01 00:00:00",,6,
"2017-01-02 00:00:00",,2,
"2017-01-03 00:00:00",,0,
"2017-01-04 00:00:00",,0,
"2017-01-05 00:00:00",,0,
"2017-01-06 00:00:00",,0,
"2017-01-07 00:00:00",,13,
"2017-01-08 00:00:00",,0,
"2017-01-09 00:00:00",,0,
"2017-01-10 00:00:00",,0,
"2017-01-11 00:00:00",,8,
"2017-01-12 00:00:00",,6,
"2017-01-13 00:00:00",,0,
"2017-01-14 00:00:00",,0,
"2017-01-15 00:00:00",,0,
"2017-01-16 00:00:00",,0,
"2017-01-17 00:00:00",,0,
"2017-01-18 00:00:00",,0,
"2017-01-19 00:00:00",,800,
"2017-01-20 00:00:00",,0,
"2017-01-21 00:00:00",,0,
"2017-01-22 00:00:00",,0,
"2017-01-23 00:00:00",,0,
"2017-01-24 00:00:00",,0,
"2017-01-25 00:00:00",,0,
"2017-01-26 00:00:00",,0,
"2017-01-27 00:00:00",,1,
"2017-01-28 00:00:00",,0,
"2017-01-29 00:00:00",,0,
"2017-01-30 00:00:00",,0,
"2017-01-31 00:00:00",,0,
"2017-02-01 00:00:00",1,0,
"2017-02-02 00:00:00",,0,
"2017-02-03 00:00:00",,0,
"2017-02-04 00:00:00",,0,
"2017-02-05 00:00:00",,0,
"2017-02-06 00:00:00",,0,
"2017-02-07 00:00:00",,0,
"2017-02-08 00:00:00",,0,
"2017-02-09 00:00:00",,0,
"2017-02-10 00:00:00",,0,
"2017-02-11 00:00:00",,0,
"2017-02-12 00:00:00",,0,
"2017-02-13 00:00:00",,0,
"2017-02-14 00:00:00",,0,
"2017-02-15 00:00:00",,3,
"2017-02-16 00:00:00",,0,
"2017-02-17 00:00:00",,0,
"2017-02-18 00:00:00",,0,
"2017-02-19 00:00:00",,0,
"2017-02-20 00:00:00",,0,
"2017-02-21 00:00:00",,0,
"2017-02-22 00:00:00",,0,
"2017-02-23 00:00:00",,2,
"2017-02-24 00:00:00",,85949,
"2017-02-25 00:00:00",,78446,
"2017-02-26 00:00:00",,64780,
"2017-02-27 00:00:00",,26155,
"2017-02-28 00:00:00",,74,
"2017-03-01 00:00:00",1,29,
"2017-03-02 00:00:00",,194,
"2017-03-03 00:00:00",3,72953,
"2017-03-04 00:00:00",,55840,
"2017-03-05 00:00:00",,31847,
"2017-03-06 00:00:00",1,24996,
"2017-03-07 00:00:00",,514,
"2017-03-08 00:00:00",,504,
"2017-03-09 00:00:00",,107,
"2017-03-10 00:00:00",1,52977,
"2017-03-11 00:00:00",,87594,
"2017-03-12 00:00:00",,98379,
"2017-03-13 00:00:00",,95879,
"2017-03-14 00:00:00",,58023,
"2017-03-15 00:00:00",,61,
"2017-03-16 00:00:00",,760,
"2017-03-17 00:00:00",,113068,
"2017-03-18 00:00:00",,96110,
"2017-03-19 00:00:00",,120217,
"2017-03-20 00:00:00",,115520,
"2017-03-21 00:00:00",,78331,
"2017-03-22 00:00:00",,202,
"2017-03-23 00:00:00",39523,150320,
"2017-03-24 00:00:00",46119,128257,
"2017-03-25 00:00:00",53667,122512,
"2017-03-26 00:00:00",65629,142303,
"2017-03-27 00:00:00",56310,127968,
"2017-03-28 00:00:00",57175,121928,
"2017-03-29 00:00:00",57121,112617,
"2017-03-30 00:00:00",58532,118253,
"2017-03-31 00:00:00",65738,132403,
"2017-04-01 00:00:00",75682,134109,
"2017-04-02 00:00:00",86648,117594,
"2017-04-03 00:00:00",72785,132288,
"2017-04-04 00:00:00",70046,133173,
"2017-04-05 00:00:00",70541,122331,
"2017-04-06 00:00:00",70104,105328,
"2017-04-07 00:00:00",71165,121733,
"2017-04-08 00:00:00",81031,91522,
"2017-04-09 00:00:00",89066,86787,
"2017-04-10 00:00:00",80357,116327,
"2017-04-11 00:00:00",74820,129200,
"2017-04-12 00:00:00",73028,103464,
"2017-04-13 00:00:00",77263,89713,
"2017-04-14 00:00:00",87933,121793,
"2017-04-15 00:00:00",91451,98966,
"2017-04-16 00:00:00",96368,107412,
"2017-04-17 00:00:00",103672,117870,
"2017-04-18 00:00:00",87811,119222,
"2017-04-19 00:00:00",85688,129844,
"2017-04-20 00:00:00",103411,108422,
"2017-04-21 00:00:00",110636,141896,
"2017-04-22 00:00:00",125305,103731,
"2017-04-23 00:00:00",138478,114397,
"2017-04-24 00:00:00",108786,143613,
"2017-04-25 00:00:00",105878,100793,
"2017-04-26 00:00:00",104189,128312,
"2017-04-27 00:00:00",100633,106490,
"2017-04-28 00:00:00",111007,87604,
"2017-04-29 00:00:00",125847,96570,
"2017-04-30 00:00:00",132224,105602,
"2017-05-01 00:00:00",143302,121997,
"2017-05-02 00:00:00",121663,128903,
"2017-05-03 00:00:00",121333,117649,
"2017-05-04 00:00:00",121746,320280,
"2017-05-05 00:00:00",127751,94137,
"2017-05-06 00:00:00",149613,135002,
"2017-05-07 00:00:00",161117,119624,
"2017-05-08 00:00:00",142099,116983,
"2017-05-09 00:00:00",139173,166750,
"2017-05-10 00:00:00",134549,140714,
"2017-05-11 00:00:00",135010,101489,
"2017-05-12 00:00:00",145591,110934,
"2017-05-13 00:00:00",165926,94832,
"2017-05-14 00:00:00",174516,86274,
"2017-05-15 00:00:00",145584,121426,
"2017-05-16 00:00:00",146877,111916,
"2017-05-17 00:00:00",148631,102151,
"2017-05-18 00:00:00",146887,116596,
"2017-05-19 00:00:00",158062,102745,
"2017-05-20 00:00:00",173348,118031,
"2017-05-21 00:00:00",186916,95358,
"2017-05-22 00:00:00",157947,105666,
"2017-05-23 00:00:00",160833,112339,
"2017-05-24 00:00:00",151991,85299,
"2017-05-25 00:00:00",143727,84338,
"2017-05-26 00:00:00",172888,95354,
"2017-05-27 00:00:00",182698,93827,
"2017-05-28 00:00:00",191573,72571,
"2017-05-29 00:00:00",180861,116827,
"2017-05-30 00:00:00",172266,91140,
"2017-05-31 00:00:00",171474,87824,
"2017-06-01 00:00:00",168779,73861,
"2017-06-02 00:00:00",176691,105404,
"2017-06-03 00:00:00",194697,99870,
"2017-06-04 00:00:00",209081,78357,
"2017-06-05 00:00:00",204449,95419,
"2017-06-06 00:00:00",185607,103506,
"2017-06-07 00:00:00",180441,90562,
"2017-06-08 00:00:00",178360,97749,
"2017-06-09 00:00:00",188136,80280,
"2017-06-10 00:00:00",197874,90129,
"2017-06-11 00:00:00",218071,82533,
"2017-06-12 00:00:00",197381,142751,
"2017-06-13 00:00:00",192862,125905,
"2017-06-14 00:00:00",193730,109507,
"2017-06-15 00:00:00",200558,92704,
"2017-06-16 00:00:00",206596,93165,
"2017-06-17 00:00:00",220910,108680,
"2017-06-18 00:00:00",232325,110949,
"2017-06-19 00:00:00",209239,112302,
"2017-06-20 00:00:00",212130,102455,
"2017-06-21 00:00:00",211893,109773,
"2017-06-22 00:00:00",211103,101420,
"2017-06-23 00:00:00",218507,109307,
"2017-06-24 00:00:00",239810,114179,
"2017-06-25 00:00:00",257712,117290,
"2017-06-26 00:00:00",232986,130613,
"2017-06-27 00:00:00",236180,99545,
"2017-06-28 00:00:00",237002,104518,
"2017-06-29 00:00:00",255147,133528,
"2017-06-30 00:00:00",269383,148584,
"2017-07-01 00:00:00",290001,118404,
"2017-07-02 00:00:00",313807,96878,
"2017-07-03 00:00:00",286085,119572,
"2017-07-04 00:00:00",289135,127308,
"2017-07-05 00:00:00",284355,145234,
"2017-07-06 00:00:00",282554,104655,
"2017-07-07 00:00:00",301208,133598,
"2017-07-08 00:00:00",321026,145064,
"2017-07-09 00:00:00",340604,119986,
"2017-07-10 00:00:00",319705,147775,
"2017-07-11 00:00:00",321086,157898,
"2017-07-12 00:00:00",321392,144117,
"2017-07-13 00:00:00",313880,114216,
"2017-07-14 00:00:00",335374,137605,
"2017-07-15 00:00:00",355330,106005,
"2017-07-16 00:00:00",382779,129752,
"2017-07-17 00:00:00",329145,135624,
"2017-07-18 00:00:00",356656,113836,
"2017-07-19 00:00:00",351955,125384,
"2017-07-20 00:00:00",357712,126671,
"2017-07-21 00:00:00",363785,111309,
"2017-07-22 00:00:00",386257,124520,
"2017-07-23 00:00:00",422618,116880,
"2017-07-24 00:00:00",364760,156931,
"2017-07-25 00:00:00",412085,148996,
"2017-07-26 00:00:00",415193,203409,
"2017-07-27 00:00:00",370084,162892,
"2017-07-28 00:00:00",430582,169857,
"2017-07-29 00:00:00",445820,142399,
"2017-07-30 00:00:00",481304,136479,
"2017-07-31 00:00:00",461344,133635,
"2017-08-01 00:00:00",479439,176533,
"2017-08-02 00:00:00",479612,162229,
"2017-08-03 00:00:00",423030,150394,
"2017-08-04 00:00:00",523078,130063,
"2017-08-05 00:00:00",546584,140558,
"2017-08-06 00:00:00",581224,120906,
"2017-08-07 00:00:00",555240,148279,
"2017-08-08 00:00:00",552038,143672,
"2017-08-09 00:00:00",552155,142041,
"2017-08-10 00:00:00",538332,161960,
"2017-08-11 00:00:00",559613,146529,
"2017-08-12 00:00:00",586190,196106,
"2017-08-13 00:00:00",614743,150534,
"2017-08-14 00:00:00",613642,168552,
"2017-08-15 00:00:00",617207,166500,
"2017-08-16 00:00:00",620133,181676,
"2017-08-17 00:00:00",628489,152252,
"2017-08-18 00:00:00",659152,168220,
"2017-08-19 00:00:00",699249,152896,
"2017-08-20 00:00:00",678113,140775,
"2017-08-21 00:00:00",687633,158604,
"2017-08-22 00:00:00",718030,143995,
"2017-08-23 00:00:00",710065,452803,
"2017-08-24 00:00:00",755998,416477,
"2017-08-25 00:00:00",774342,390396,
"2017-08-26 00:00:00",810668,424393,
"2017-08-27 00:00:00",877844,169080,
"2017-08-28 00:00:00",804696,170955,
"2017-08-29 00:00:00",874184,162099,
"2017-08-30 00:00:00",887388,152727,
"2017-08-31 00:00:00",857891,149157,
"2017-09-01 00:00:00",886154,169269,
"2017-09-02 00:00:00",936020,157620,
"2017-09-03 00:00:00",970240,136301,
"2017-09-04 00:00:00",954533,195428,
"2017-09-05 00:00:00",962950,175214,
"2017-09-06 00:00:00",968512,178033,
"2017-09-07 00:00:00",980039,168593,
"2017-09-08 00:00:00",1028275,216214,
"2017-09-09 00:00:00",1069054,211264,
"2017-09-10 00:00:00",1111155,164347,
"2017-09-11 00:00:00",1063156,187648,
"2017-09-12 00:00:00",1073334,184605,
"2017-09-13 00:00:00",1090862,167806,
"2017-09-14 00:00:00",1135586,174688,
"2017-09-15 00:00:00",1238017,140980,
"2017-09-16 00:00:00",1349413,195322,
"2017-09-17 00:00:00",1338091,147105,
"2017-09-18 00:00:00",1302950,159879,
"2017-09-19 00:00:00",1280976,197948,
"2017-09-20 00:00:00",1333200,164810,
"2017-09-21 00:00:00",1243166,161674,
"2017-09-22 00:00:00",1462708,162439,
